song_id,platform_id,released_year,language,number_of_comments
235,T17802724,2013,eng,27610
236,X1898,1997,en-US,10439
237,R10592,1974,,8264
238,V242006,2002,en-US,11601
239,X8908,2006,en-US,22412
240,Q17212231,2013,eng,33700
241,Q47281,1989,eng,10304
242,U13145,1993,eng,3600
243,T10614,1987,en-GB,6416
244,Y66559,2006,en-US,28268
245,Y2839,1977,eng,9270
246,S30183,2007,en-US,12870
247,R36072,1989,en-US,6148
248,R1622,1595,eng,5724
249,X4588,2005,en-US,21107
250,U11387515,2012,eng,43021
251,S233093,1957,eng,4299
252,R11235712,2012,eng,41109
253,W16160797,2013,en-US,27258
254,Q6068551,2009,eng,20521
255,R662,1957,eng,14666
256,V49436,2006,en-US,21681
257,S13023,1865,eng,4876
258,R1232,2001,eng,24652
259,U7631105,2010,eng,23058
260,U4865,1936,eng,7909
261,Y480479,1996,eng,3074
262,R19486412,2014,eng,30120
263,W24337,1997,eng,8534
264,V3876,1926,en-US,9826
265,Q14891,1943,eng,16088
266,X13148,1995,eng,2798
267,Q21853621,2015,eng,37279
268,T6334,2005,eng,21927
269,R366522,2003,en-US,7069
270,S12873,1938,en-US,14920
271,S18373,1966,en-US,11328
272,R6952,1989,en-US,6559
273,S1103,2005,eng,15807
274,T22034,1969,eng,5832
275,P49750,2006,eng,20657
276,Y29579,1951,eng,6240
277,T15783514,2013,eng,37655
278,X30118,1981,eng,2431
279,S29056083,2016,eng,53365
280,X11614718,2011,eng,24271
281,Y32499,1992,eng,2006
282,Q17061,2002,eng,13905
283,W12067,1990,en-US,13914
284,Q70401,1955,eng,12011
285,U16181775,2013,eng,31155
286,Y3063499,2008,en-US,9476
287,R2122,1943,eng,10198
288,Q19691,1984,,2117
289,P76620,1972,eng,10399
290,X10335308,2011,eng,19397
291,R3591262,2009,eng,23146
292,U140225,1951,eng,4620
293,U295,1882,eng,7917
294,P9520360,2011,eng,12270
295,P10644930,2011,eng,30656
296,X4948,1969,eng,5760
297,Y135479,1963,eng,8050
298,S2493,1895,eng,7353
299,R7933292,2010,eng,14378
300,Y39999,2006,eng,19058
301,P4900,1899,eng,9791
302,Y7812659,2010,eng,12769
303,Y52529,2006,eng,9663
304,Q227711,1998,eng,7775
305,S10583,1983,eng,5430
306,S5203,1992,en-US,9090
307,R1215032,2011,eng,15503
308,T33724,2003,en-US,9510
309,X6752378,2011,en-US,18870
310,X14748,2001,en-US,5500
311,R3412,1977,eng,4556
312,Q2213661,2008,en-US,23840
313,P13158800,2012,eng,29932
314,T28194,2003,en-US,10384
315,T4894,1998,eng,7877
316,Q9791,1997,eng,14422
317,T13214,1969,en-US,6666
318,W15818107,2013,eng,24700
319,V8755776,2012,eng,16639
320,U13526165,2012,eng,28973
321,U10365,1961,,8725
322,W14497,1996,eng,15680
323,W9717,1984,eng,10682
324,U16068905,2013,eng,39353
325,S4473,1989,eng,11197
326,T32234,1999,eng,5960
327,X9275658,2011,eng,23487
328,V14866,2007,eng,14004
329,Q2318271,2008,eng,14988
330,U228665,1990,eng,8212
331,V10916,1998,en-US,9257
332,U65605,1953,eng,8690
333,U2153405,2007,eng,24112
334,Y13596809,2012,eng,9817
335,Y6689,1961,eng,5120
336,W13137,2001,en-US,5039
337,S13,1996,eng,4254
338,X6280118,2009,eng,15937
339,Y32929,1947,en-US,4604
340,T7747374,2010,en-US,14101
341,Q1371,-750,eng,4763
342,X13497818,2012,eng,28751
343,R24192,1996,eng,1700
344,X4138,1997,en-US,5096
345,X45978,2005,en-US,8284
346,S236093,1900,eng,8866
347,Y121749,1951,eng,4737
348,W16143347,2014,eng,36910
349,P11590,1975,en-GB,6167
350,U7745,1971,eng,5021
351,U10025305,2011,eng,17854
352,W20910157,2014,eng,20301
353,V12996,1603,eng,4334
354,Y6149,1987,eng,7749
355,W3236307,2008,en-CA,19081
356,Q78411,1999,eng,12794
357,W355697,1929,en-US,6947
358,Y191139,1990,en-US,4021
359,R16115612,2012,eng,24084
360,R7082,1968,eng,8330
361,T18254,1838,eng,5342
362,Y11149,1942,eng,8285
363,R6936382,2010,en-US,26153
364,V113946,1957,eng,2204
365,U5805,1990,eng,4138
366,S2203,2001,eng,5334
367,U14995,2003,eng,6357
368,T119324,1997,eng,6139
369,R22232,2000,eng,11717
370,W7090447,2010,eng,10914
371,P350,1961,eng,6293
372,V10176,2004,eng,5776
373,Y6319,1982,eng,7906
374,Q21,2003,en-US,9065
375,R1852,1903,eng,6770
376,W7864437,2011,eng,19975
377,S16793,1999,eng,13731
378,W33917,2003,en-US,9824
379,X8667848,2011,eng,25179
380,W11297,1987,eng,12522
381,X5168,1995,en-US,3147
382,W6567017,2010,eng,15782
383,Q1241,2003,en-CA,10857
384,S2282133,2008,eng,10056
385,P8520610,2012,eng,17573
386,X233818,1960,en-CA,6699
387,P17250,1953,eng,5390
388,P50,1986,en-US,10378
389,X68428,2006,eng,16276
390,V51496,1886,eng,7958
391,T7784,1971,eng,3231
392,W389627,2004,en-US,13337
393,W7896527,2012,eng,29145
394,V2802316,2008,en-US,10074
395,P46170,1940,eng,4658
396,V3367956,2009,eng,18120
397,S343,1985,eng,10057
398,W1097,2001,eng,5063
399,W3950967,2007,en-US,11330
400,X22328,1984,eng,6623
401,Y10799,1929,en-US,7249
402,Y391729,1843,en-GB,1050
403,T10534,-500,eng,6335
404,V11367726,2012,eng,17681
405,P4980,1973,eng,5265
406,V627206,1979,en-US,591
407,V5826,2001,eng,12134
408,R1842,1997,eng,7872
409,U9375,1987,,4439
410,Q37781,1958,en-US,9884
411,R33722,2005,eng,6772
412,U567795,1990,en-US,7647
413,P7190,1844,,4974
414,V6948436,2008,en-US,19680
415,T3975774,2009,en-US,9228
416,W6327,1983,en-US,5190
417,P40440,2006,eng,19432
418,Y6479259,2010,eng,8030
419,S5996153,2009,en-US,8782
420,X3478,1998,en-US,3721
421,R8683812,2011,eng,18836
422,Q862041,1998,eng,6508
423,X16248068,2013,eng,21810
424,S119073,1980,en-US,6075
425,Y46799,1971,eng,9202
426,R310612,1980,eng,11881
427,S92303,1895,eng,6560
428,P12127750,2012,eng,13332
429,W34497,1983,eng,6520
430,Y4929,2002,en-US,13279
431,W28877,1981,eng,3309
432,T41804,1950,eng,4335
433,Y42899,2005,eng,10769
434,W7791997,2010,en-US,10041
435,W6482837,2010,eng,17705
436,W9777,1997,eng,9294
437,V18079776,2014,en-US,19518
438,U6469165,2009,eng,17382
439,Y3869,1987,eng,5146
440,S7315573,2010,eng,11859
441,T6320534,2009,eng,13086
442,P830,1992,eng,7075
443,X51738,2006,en-US,7319
444,W99107,1926,eng,2978
445,P9736930,2011,en-CA,19206
446,X102868,1887,eng,6954
447,S2248573,2008,eng,7993
448,U56495,2002,en-US,2755
449,T676924,2007,en-US,4993
450,R47212,2000,en-US,12005
451,X50398,1817,eng,8616
452,X16101128,2013,eng,26756
453,P10920,1997,en-US,4884
454,P767680,1985,en-US,3016
455,U42155,2005,en-US,6646
456,P12220,1947,eng,2841
457,R10692,2005,eng,14252
458,T20170404,2014,eng,24215
459,T18774964,2012,eng,34386
460,T18335634,2013,eng,23261
461,X1078,1931,eng,8259
462,T2784,1972,eng,790
463,T5364,1992,eng,12025
464,P1923820,1611,eng,4438
465,X14758,2002,,2513
466,Y659469,1989,eng,957
467,S297673,2007,eng,16640
468,U37415,1937,eng,9005
469,Y41899,2001,eng,6523
470,U17851885,2012,eng,14667
471,R45032,1814,eng,7046
472,Y4069,1946,eng,10147
473,Y237209,2007,eng,15392
474,S14743,2006,eng,6812
475,U8492825,2011,en-US,18556
476,Y7069,1978,eng,4569
477,Y78129,1997,eng,8032
478,R2932,1719,eng,4603
479,R28862,1513,eng,5389
480,R18122,2000,eng,6693
481,Y43889,1994,eng,5485
482,S6837103,2010,en-CA,15812
483,S5113,1961,en-US,5297
484,Y29059,2001,eng,5328
485,T4934,1880,eng,7640
486,Q307791,2003,eng,9322
487,P7670,1969,,2555
488,V11566,1996,eng,4873
489,W2547,1923,eng,6263
490,V15196,1985,eng,4837
491,X2866718,2008,en-US,3356
492,W7967,1986,en-US,6579
493,X11138,1952,eng,6041
494,T29044,1992,eng,13324
495,S4953,2000,eng,8673
496,U1295,1980,eng,5137
497,U3685,1877,eng,3377
498,V656,1869,eng,8062
499,V28676,1991,eng,7669
500,P38980,2000,eng,4289
501,Q7061,1998,eng,9369
502,X138398,2004,en-GB,3397
503,U70535,1968,eng,3722
504,R11422,1991,eng,9147
505,S27523,1995,eng,3210
506,V18635016,2014,eng,21608
507,U7938275,2010,eng,6429
508,Y1869,2001,eng,5723
509,T1358844,2008,eng,6838
510,Y233649,1990,en-US,3061
511,T6534,1990,eng,2261
512,Y23919,1849,en-US,1055
513,Y561909,1971,en-US,7801
514,P3590,1892,eng,4922
515,U16735,1986,eng,3454
516,U3985,2000,eng,9326
517,W4268157,2008,eng,9882
518,X34268,1904,en-US,7464
519,X24768,2005,eng,9390
520,U11275,1994,eng,10724
521,U79885,2005,eng,4757
522,X49628,2004,eng,17001
523,X133518,1990,en-US,10666
524,S114683,1988,eng,687
525,Q9593911,2012,eng,13876
526,Q17231,2004,eng,5656
527,T110494,2002,eng,6388
528,W34897,1991,eng,2471
529,S7733,1726,eng,3927
530,W12957,1598,eng,2686
531,W52357,975,en-US,5098
532,P59980,1987,eng,1954
533,V24817626,2015,eng,24535
534,U1044355,2008,en-US,9013
535,R8490112,2011,eng,23582
536,Q17878931,2015,eng,30249
537,S12609433,2011,eng,9515
538,W386187,1994,eng,6635
539,S15717943,2012,eng,18984
540,X3008,1905,eng,5128
541,W51737,2004,en-US,7421
542,Y84119,1954,eng,4913
543,P6527740,2010,eng,10312
544,W77767,1935,eng,3220
545,T144974,1922,eng,2714
546,Y629,1974,eng,6535
547,Y8909,1897,eng,4930
548,U162085,2006,en-US,8160
549,P231850,1948,en-US,1902
550,Y3109,2006,eng,11843
551,R15790842,2013,eng,20822
552,R3462,2000,en-US,3261
553,Q107291,1991,,2448
554,W10987,1993,eng,8381
555,Q117251,1996,eng,194
556,S10603,1981,spa,2832
557,V10956,1993,eng,7547
558,W140077,2004,eng,5327
559,Q32261,1891,eng,6737
560,U2175,1856,eng,7617
561,X378,1961,en-US,8011
562,S7235533,2010,eng,10947
563,R140082,2003,en-GB,5029
564,T248704,2006,en-US,8461
565,Y68429,2007,eng,8541
566,T25041504,2015,eng,16879
567,R10032672,2011,eng,17457
568,P59960,1986,eng,2838
569,R13152,2005,eng,8606
570,R285092,1995,eng,4792
571,U15925,2003,en-US,4333
572,V46756,2003,eng,10391
573,T1274,1998,en-US,4191
574,S33313,2000,eng,7582
575,Y7669,1999,en-US,3628
576,P19380,1759,eng,5504
577,Q84981,1975,eng,7187
578,Y10629,1983,fre,2092
579,T197084,1960,eng,1864
580,X222078,1950,en-US,470
581,P13206760,2013,eng,23054
582,Q69571,1997,eng,6790
583,V10637766,2011,eng,7290
584,X6101718,2009,eng,18232
585,U13615,2004,eng,2470
586,R3682,2003,eng,8902
587,V256566,2002,eng,7019
588,Y15769,1986,en-US,1010
589,X16056408,2012,en-CA,11189
590,V58696,1849,eng,4623
591,X693208,2007,eng,18988
592,S117833,1967,eng,7365
593,R13642,1968,en-US,5357
594,T357664,2000,eng,6594
595,X5148,1959,en-US,5580
596,Y5349,1995,eng,1518
597,V3836,1605,eng,5429
598,W45107,1995,eng,6023
599,U8695,1980,eng,3851
600,R7740152,2010,eng,7245
601,Q19321,1901,eng,1404
602,Q65641,1953,eng,3391
603,S2767793,2008,eng,9111
604,S68783,1993,eng,3532
605,S40173,2007,,6724
606,X71728,1970,en-US,5501
607,U8755785,2014,eng,19582
608,Y310259,1986,en-GB,4286
609,W10567,2006,en-US,4841
610,R16158542,2013,eng,16287
611,R7332,1977,eng,5743
612,T5094,1987,eng,5293
613,W3407877,2008,en-GB,15953
614,P17690,1925,eng,4717
615,U22205,2002,eng,4597
616,T14864,2000,eng,6231
617,S6314763,2010,eng,12873
618,Q8921,1902,eng,5421
619,W11468377,2011,eng,5715
620,U402045,1982,eng,5582
621,R37732,1970,eng,5168
622,V15926,2002,eng,4025
623,W18775247,2014,eng,12447
624,U140075,2007,eng,3372
625,V5166,1997,en-US,3830
626,R420282,1985,en-US,2498
627,W125507,1989,en-GB,2618
628,R32682,1987,eng,939
629,Q1431,1998,eng,6063
630,T16071764,2013,eng,10385
631,P170210,2005,eng,3733
632,U10429045,2011,en-US,20959
633,T17214,1959,en-CA,4034
634,U12033455,2011,eng,10577
635,Y10959,1991,eng,7652
636,V11260526,2011,eng,134
637,X76778,1950,en-US,5204
638,U7331435,2010,eng,15030
639,S93,1880,eng,2667
640,S83763,2002,,2700
641,Y84369,1956,eng,4156
642,T5064,2007,eng,9392
643,X1326258,2008,en-US,4013
644,P13372690,2012,eng,14423
645,Q544891,2007,eng,8576
646,V2696,1390,eng,2615
647,Y42149,2006,en-US,3375
648,Q7664041,2011,en-US,8891
649,U10357575,2009,eng,13779
650,W46787,1852,eng,5696
651,T480204,1909,eng,4590
652,Y140079,2006,en-US,3669
653,V2526,1995,en-US,11061
654,R7905092,2010,en-US,12909
655,T15812814,2011,eng,14020
656,P852470,2006,en-US,6720
657,S1768603,2008,eng,8334
658,U3805,2001,eng,8201
659,Q88061,1995,eng,5843
660,R7672,1980,eng,1587
661,W46677,1972,en-CA,2213
662,Y5439,1999,eng,8145
663,W2767,1980,eng,4320
664,X251688,1958,eng,7331
665,X6690798,2010,eng,16506
666,T2744,2005,eng,7758
667,U5664985,2009,eng,6238
668,S18693763,2014,eng,15177
669,X9328,1982,en-US,5244
670,S11573,1979,en-US,2294
671,S16343,1920,eng,3826
672,T16304,1934,eng,8713
673,P15796700,2013,eng,13831
674,T7494,2001,eng,4255
675,W233667,1980,eng,1859
676,Y15731779,2013,eng,9728
677,S6289283,2009,eng,11605
678,W18293427,2014,eng,20980
679,Y475339,1939,en-GB,1407
680,U1005,1937,eng,3272
681,W8337,1932,eng,4096
682,Q14201,2004,eng,11516
683,S3463,2001,eng,3392
684,P12127810,2013,eng,11843
685,T2536134,2008,eng,9445
686,V3466,2003,en-US,5443
687,W1067,2005,eng,5963
688,W10847,2003,eng,8947
689,Q11447921,2012,eng,13738
690,R9742,2006,en-US,4511
691,Y10569,1999,eng,11807
692,X1472878,2008,en-US,11137
693,S455373,1987,eng,2313
694,R2120652,2008,en-US,4743
695,T18214414,2014,eng,13549
696,T43814,1985,eng,3097
697,U9118135,2011,eng,14781
698,T13539044,2008,en-US,11059
699,W33507,1869,eng,4608
700,Q16181,2005,en-US,4166
701,R14942,1925,en-US,6360
702,R13486632,2009,en-GB,16350
703,Y10589,1998,en-US,3087
704,W4687,1985,eng,3170
705,U10605,1984,en-GB,1641
706,Y54479,1872,eng,4341
707,V53496,1994,eng,5530
708,P1430,2003,eng,5444
709,Y4009,1953,eng,3423
710,W13747,2005,eng,7434
711,W764347,2007,eng,15376
712,X10988,1996,eng,5743
713,V13414446,2013,eng,12663
714,X12938,1603,eng,3079
715,X12898,1949,eng,3486
716,P531350,2007,en-US,6808
717,Q11742691,2012,en-US,384
718,U10975,1929,eng,5485
719,T76334,2005,eng,5862
720,P2880,2002,eng,890
721,T17571564,2013,eng,10136
722,Y9539,1992,en-US,2145
723,P33600,2003,eng,10295
724,W2233407,2008,eng,3500
725,T34084,1991,eng,3844
726,S2373,1997,en-US,1785
727,Y101299,1995,eng,8529
728,Q759611,1967,eng,2731
729,V77566,1989,eng,5640
730,X5308,1947,eng,6121
731,P179780,1971,en-US,2850
732,R7937462,2009,eng,9885
733,R77142,1994,eng,3881
734,X546018,1976,en-US,2644
735,X96358,1988,eng,3711
736,Q16981,1952,eng,4160
737,U43015,2007,en-US,9015
738,R9822,1971,,2718
739,R39662,1982,eng,3148
740,U114345,1953,,2016
741,V33926,1998,,2809
742,Y13453029,2012,eng,11803
743,Q28881,2002,en-US,10411
744,X6708,1997,eng,5376
745,Q12868761,2012,eng,15544
746,U127455,2006,eng,9655
747,X518848,1995,en-US,5652
748,V5161066,2009,eng,4315
749,P15753740,2013,eng,13923
750,W12578077,2011,eng,15367
751,T8694,1982,eng,2354
752,V17167166,2013,en-CA,19450
753,P29800,2004,eng,3118
754,W6366437,2008,eng,10401
755,R386372,1987,eng,3081
756,W6644117,2010,eng,10506
757,X256008,1985,en-US,5343
758,U32145,2003,eng,10513
759,W8709527,2011,en-US,7698
760,R9532,1998,eng,4587
761,W6063187,2009,eng,6023
762,S375013,1982,eng,1605
763,W11337,1970,eng,4963
764,U5971165,2009,eng,6293
765,W92057,1965,eng,3951
766,T23754,1989,eng,4388
767,W110737,1999,en-US,3636
768,V21686,2003,eng,6990
769,R188572,1894,eng,2774
770,V13006,1599,eng,3044
771,X9938498,2011,eng,12570
772,Y30289,-380,eng,2261
773,Q47021,1593,en-US,2370
774,X13206828,2014,eng,20055
775,Y341879,2010,en-US,8415
776,V567616,1997,eng,192
777,Q227941,2001,en-US,2448
778,W30597,1831,eng,3255
779,Q5211,1996,eng,7227
780,W77727,1987,en-US,684
781,U24765,2006,eng,7313
782,U58345,1899,eng,5662
783,Q4134071,2009,eng,3204
784,Y10929,2006,en-US,6632
785,Y32669,1989,eng,574
786,P30120,1996,en-US,1281
787,W7821447,2010,,7386
788,U23955,1993,fre,2029
789,Q29581,1952,eng,2054
790,V6596,1997,,6132
791,P6614960,2010,en-US,9871
792,W22917,1812,eng,1851
793,P3980,1967,eng,5440
794,Y16130549,2013,eng,13654
795,Q4271,1998,en-US,2794
796,Q15760001,2012,eng,8174
797,Q3206011,2008,eng,3011
798,P7770,1960,,2074
799,S32423,1987,,2687
800,Q821611,1902,eng,1683
801,U6224935,2009,eng,11062
802,Q7108001,2010,en-US,11875
803,Y271199,1999,eng,1541
804,U12985,1623,en-US,2831
805,R6917952,2010,eng,2999
806,V5096,1997,eng,4070
807,U18302455,2013,eng,17954
808,V9673436,2007,eng,13128
809,Y5479,1932,eng,1012
810,T1087204,2003,eng,949
811,U18812405,2014,eng,11244
812,S16070903,2012,eng,7995
813,Y18081809,2014,eng,15782
814,U6262365,2008,eng,3165
815,W12497,2005,eng,6281
816,X6101138,2009,eng,12827
817,T6294,1986,eng,9219
818,P11570,2001,fre,1856
820,Q28921,1989,eng,7455
821,Y10766509,2010,en-US,9610
822,R10746542,2011,eng,12966
823,S64863,1982,en-US,3236
824,T1554,-430,eng,2129
825,U5960325,2009,eng,8654
826,Y5659,1908,eng,4057
827,V15749186,2014,eng,17356
828,V9516,2000,eng,6588
829,W3087,1908,eng,3969
830,V6931356,2010,en-US,11130
831,R1295102,2008,eng,4950
832,R268602,1995,en-US,4462
833,U5355,1994,eng,1337
834,W4502877,2008,eng,9189
835,R204042,1999,eng,1207
836,T13227454,2012,eng,14583
837,S13262783,2012,eng,15539
838,X8648,1991,eng,3217
839,X24128,1596,eng,2616
840,S402093,1975,eng,3075
841,P42900,2006,eng,5926
842,T16096824,2015,eng,25463
843,V13584236,2012,,6275
844,U293595,1989,eng,3318
845,Q6393631,2009,eng,6516
846,R5472,1950,eng,1293
847,Q5161,1996,en-US,1095
848,U12555,2001,en-US,2871
849,S402013,1999,eng,3833
850,S13538873,2012,eng,20150
851,X43448,1979,eng,6055
852,V25899336,2016,eng,15933
853,S139463,1990,eng,3689
854,P22290,1999,eng,4657
855,U1625,1601,eng,2615
856,V12936,2000,eng,9480
857,R902,1978,eng,7814
858,V15839976,2014,eng,15775
859,S3227063,2008,en-US,4025
860,X30868,1988,eng,5259
861,P15745950,2013,eng,11348
862,X17332218,2014,eng,7261
863,V301736,1988,en-US,1326
864,W10967,2001,eng,5048
865,X10628,1978,en-GB,2038
866,R126232,1974,eng,2205
867,W3867,2005,eng,9622
868,R19302,1945,eng,2615
869,R2967752,2006,eng,15335
870,Y2199,2005,eng,5875
871,X7091488,2010,en-US,5325
872,Y11989,1947,en-US,3494
873,X78418,1999,eng,4863
874,P13547180,2012,eng,8593
875,T305234,2007,en-US,6591
876,W420297,1941,en-CA,845
877,R27712,1979,eng,4303
878,R13912,1998,en-GB,1100
879,Q41681,1906,eng,4750
880,U2800905,2008,en-US,5830
881,W63697,1985,en-US,4238
882,T92364,1978,en-US,1990
883,S78433,2000,eng,5908
884,S23164983,2014,eng,14221
885,P359770,1999,eng,3589
886,V17235026,2014,eng,14701
887,S77013,1930,eng,5508
888,S98573,1955,eng,1570
889,Y35729,2006,eng,5559
890,P29580,1953,eng,1675
891,W91477,2001,eng,5269
892,T15751404,2011,eng,7317
893,P870,2002,eng,1103
